ID;Image;Name;Reference;Category;Base price;Final price;Quantity;Status;Position;Brand
6337;https://www.mac-peche.fr/6/wader-jmc-hydrox-evolution-respirant-4couches.jpg;wader jmc hydrox evolution-respirant-4couches;3660124382375;Waders;207.500000;249;2;0;;
6336;https://www.mac-peche.fr/5/wader-jmc-hydrox-first-v2-respirant-3couches.jpg;wader jmc hydrox first V2-respirant-3couches;;Waders;140.833333;169;0;1;;
6335;https://www.mac-peche.fr/2/tonkis-fendus-n-3-orange-fluo-guide-fils.jpg;Tonkis fendus n 3 orange fluo - Guide fils;3515190151427;Accessoires;3.250000;3.9;0;1;;
6334;https://www.mac-peche.fr//tonkis-fendus-n-3-jaune-fluo.jpg;tonkis fendus n 3 jaune fluo;3515190151380;Accessoires;3.250000;3.9;0;1;;PAFEX
6333;https://www.mac-peche.fr//tonkis-fendus-n-2-orange-fluo.jpg;tonkis fendus n 2 orange fluo;3515190151410;Accessoires;3.080000;3.7;0;1;;PAFEX
6332;https://www.mac-peche.fr//tonkis-fendus-n-2-jaune-fluo.jpg;tonkis fendus n 2 jaune fluo;3515190151373;Accessoires;3.080000;3.7;0;1;;PAFEX
6331;https://www.mac-peche.fr//tonkis-fendus-n-1-orange-fluo.jpg;tonkis fendus n 1 orange fluo;3515190151403;Accessoires;2.920000;3.5;0;1;;PAFEX
6330;https://www.mac-peche.fr//tonkis-fendus-n-1-jaune-fluo.jpg;tonkis fendus n 1 jaune fluo;3515190151366;Accessoires;2.920000;3.5;0;1;;PAFEX
6329;https://www.mac-peche.fr//tige-striee-185gr.jpg;tige striee 1.85gr;3522970005177;Accueil;2.380000;2.86;20;0;;
6328;https://www.mac-peche.fr//tete-poisson-3grs-x5.jpg;tete poisson 3grs x5;3522970004293;Accueil;2.580000;3.1;0;1;;
6327;https://www.mac-peche.fr//tete-poisson-avancon-7grs-x5.jpg;tete poisson +avancon 7grs x5;3522970004316;Accueil;2.710000;3.25;3;0;;
6326;https://www.mac-peche.fr//tete-poisson-avancon-5grs-x5.jpg;tete poisson +avancon 5grs x5;3522970004309;Accueil;2.670000;3.2;1;0;;
6325;https://www.mac-peche.fr//tete-poisson-avancon-2grs-x5.jpg;tete poisson +avancon 2grs x5;3522970004286;Accueil;2.580000;3.1;0;1;;
