Product ID;Image;Name;Reference;Category;Base price;Final price;Quantity;Status;Position;Brand
48;https://www.mac-peche.fr//canne-gunki-shigeki-c-190m-ml.jpg;canne gunki shigeki c 190m/ml;3297830589035;Cannes;165.830000;199;0;1;;GUNKI
47;https://www.mac-peche.fr//canne-gunki-plugin-s190-m-5-20gr.jpg;canne gunki plugin S190 M 5/20gr;3297830538927;Cannes;49.170000;59;0;1;;GUNKI
46;https://www.mac-peche.fr//canne-gunki-plugin-s-210h-10-40gr.jpg;canne gunki plugin S 210H 10/40gr;3297830538934;Cannes;54.920000;65.9;0;1;;GUNKI
45;https://www.mac-peche.fr//canne-exceller-trout-4250-tri.jpg;canne exceller trout 4250 tri;3660393246729;Cannes;168.330000;202;0;1;;DAIWA
44;https://www.mac-peche.fr//canne-exceller-toc-393-ml.jpg;CANNE EXCELLER TOC 393 ML;3660393242936;Cannes;91.580000;109.9;1;0;;DAIWA
43;https://www.mac-peche.fr//canne-exceller-63-t-xhfs.jpg;canne exceller 63 t xhfs;3660393243537;Cannes;63.250000;75.9;0;1;;DAIWA
42;https://www.mac-peche.fr//canne-exceller-602-xxhfb-os.jpg;canne exceller 602 xxhfb os;3660393243605;Cannes;74.920000;89.9;0;1;;DAIWA
41;https://www.mac-peche.fr//canne-evo-spin-198m-5-18gr.jpg;canne evo spin 1.98m 5/18gr;10004708;Cannes;178.330000;214;0;1;;HEARTY RISE
40;https://www.mac-peche.fr//canne-evo-spin-195m-3-14gr.jpg;canne evo spin 1.95m 3/14gr;10004678;Cannes;173.330000;208;0;1;;HEARTY RISE
39;https://www.mac-peche.fr//canne-evo-spin-192m-2-10gr.jpg;canne evo spin 1.92m 2/10gr;10004661;Cannes;165.000000;198;0;1;;HEARTY RISE
38;https://www.mac-peche.fr//canne-evo-cast-213m-10-42gr.jpg;canne evo cast 2.13m 10/42gr;10004685;Cannes;182.500000;219;1;0;;HEARTY RISE
37;https://www.mac-peche.fr//canne-evo-cast-206m-7-28gr.jpg;canne evo cast 2.06m 7/28gr;10004647;Cannes;178.330000;214;0;1;;HEARTY RISE
36;https://www.mac-peche.fr//canne-evo-cast-198m-5-18gr.jpg;canne evo cast 1.98m 5/18gr;10004654;Cannes;178.330000;214;1;0;;HEARTY RISE
35;https://www.mac-peche.fr//canne-elite-10-3.jpg;canne elite 10 3;10007921;Cannes;466.670000;560;1;0;;soldarini
34;https://www.mac-peche.fr//canne-eaux-vives-manes-rive-380.jpg;canne eaux vives manes rive 380;3297830567330;Cannes;29.170000;35;2;0;;PEZON ET MICHEL
33;https://www.mac-peche.fr//canne-eaux-vives-manes-compact-450.jpg;canne eaux vives manes compact 450;3297830600945;Cannes;75.750000;90.9;3;0;;PEZON ET MICHEL
32;https://www.mac-peche.fr//canne-eaux-vives-drac-300.jpg;canne eaux vives drac 300;3297830584931;Cannes;99.170000;119;1;0;;PEZON ET MICHEL
