ID;Code;Libellé;Stock.site;PVHT;PAHTBRUT;Fournisseur_id;Catégories
1;10000281; BOTTES NEO WATERQUEEN;2.000;48.29;23.94;58;206
2;10000274;CUISSARDE WATERQUEEN;1.000;66.5;36.3;58;206
3;43388257819;agility 2 10 3 wt;;58.25;30.29;37;14
4;43388257772;agility 2 10 7 wt;;74.92;38.95;37;14
5;43388257826;agility 2 96  7wt;;79.08;41.13;37;14
6;43388257925;agility 2 98;;70.75;36.79;109;14
7;43388257802;agility 2 fly 10  4 wt;;58.25;30.29;37;14
8;43388307729;agility rise 76 4 wt;;58.25;30.29;37;14
9;43388307743;agility rise 86 4wt;;58.25;30.29;37;14
10;43388257857;agility2 9 5;;62.42;32.46;37;14
11;3352210498700;aken evo spin 183cm 3/10gr;;74.17;34;42;30
12;3352210498717;aken evo spin 190cm 5/20gr;;78.33;35;42;30
13;3297830910419;alborella record 150 3004;;29.17;19.75;44;30
14;3352210530004;altima f1 600/5r1;;283.25;149.99;15;30
15;3297830015114;ashura the artist;;407.5;246;21;30
16;22255168748;biomaster C66ML;;107.5;42;46;30
17;4044641148963;boat rod;1.000;111.04;53.3;;
18;5055161861644;canne crossfire 135 ul;;24.17;12.6;9;30
19;10009093;canne driva 393-A;1.000;207.5;115;135;52
20;3297830561284;canne eau vive geres;;136.67;75.5;33;52
21;3297830601140;canne eau vive mane canyon;;69.08;39.5;33;52
22;3297830601041;canne eau vive mane extremis 500;;56.58;29.5;33;52
23;3297830601058;canne eau vive mane extremis 600;;74.92;39.05;33;52
24;3297830601034;canne eau vive manes extremis 400;;45.75;24.2;33;52
25;3297830589677;canne eau vive manes shallow 400;;35.75;19.5;33;52
26;3297830585860;canne eau vive mineral azurite 300;;70.83;37.95;33;52
27;3297830601331;canne eau vive mineral illmenite 400;;57.5;34.5;33;52
28;3297830601348;canne eau vive mineral illmenite 500;;99.17;45;33;52
29;3297830601355;canne eau vive mineral illmenite 600;;90.83;54.5;33;52
30;3297830601447;canne eau vive mineral spinelle 410;;74.92;42.5;33;52
31;3297830585853;canne eaux vive mineral azurite 270;;66.58;37.95;33;30,52
32;3297830584931;canne eaux vives drac 300;1.000;99.17;37;33;30,52
33;3297830600945;canne eaux vives manes compact 450;3.000;75.75;35.9;33;52
34;3297830567330;canne eaux vives manes rive 380;2.000;29.17;11.4;33;52
35;10007921;canne elite 10 3;1.000;466.67;280;133;14
36;10004654;canne evo cast 1.98m 5/18gr;1.000;178.33;107;121;30
37;10004647;canne evo cast 2.06m 7/28gr;;178.33;107;121;30
38;10004685;canne evo cast 2.13m 10/42gr;1.000;182.5;110;121;30
39;10004661;canne evo spin 1.92m 2/10gr;;165;99;121;30
40;10004678;canne evo spin 1.95m 3/14gr;;173.33;104;121;30
41;10004708;canne evo spin 1.98m 5/18gr;;178.33;107;121;30
42;3660393243605;canne exceller 602 xxhfb os;;74.92;41;9;30
43;3660393243537;canne exceller 63 t xhfs;;63.25;34;9;30
44;3660393242936;CANNE EXCELLER TOC 393 ML;1.000;91.58;54;9;52
45;3660393246729;canne exceller trout 4250 tri;;168.33;112;9;52
46;3297830538934;canne gunki plugin S 210H 10/40gr;;54.92;22;18;30
47;3297830538927;canne gunki plugin S190 M 5/20gr;;49.17;24.5;18;30
48;3297830589035;canne gunki shigeki c 190m/ml;;165.83;92;18;30
49;3297830568702;canne gunki yurai c 240xh;;99.17;49.5;18;30
50;3297830570439;canne invitation reaction control 190;;54.92;24.85;33;30
51;3297830570538;canne invitation reaction float 190;;58.25;23.9;33;30
52;3297830571474;canne invitation reaction nano swing 210;;47.92;28.5;33;30
53;3297830572884;canne invitation reaction target 240;;58.25;31.5;33;30
54;3297830570231;canne invitation reaction vertiline 190;;49.92;21.95;33;30
55;3297830571382;canne invitation reaction vortex 210 M;;57.42;30;33;30
56;3297830571399;canne invitation reaction vortex 240;;54.17;32;33;30
57;3297830590161;canne invitation transfert hard and soft 240mh;;54.17;32.5;33;30
58;3297830528157;canne iron t C 190 XXH chooten 42/120gr;1.000;182.5;109.5;18;30
59;3297830574611;canne iron t c 198 ml 3.5/15gr;1.000;124.17;69.5;18;30
60;3297830524449;canne iron t S 183 L chooten 3.5/07gr;;132.5;79.5;18;30
61;3297830574772;canne iron t s 183 l/ml 1.5/10gr;1.000;115.83;64.5;18;30
62;3297830574789;canne iron t s 190 ml 3/12gr;;120.83;67.5;18;30
63;3297830573119;canne iron t S 198 M 5/21gr;1.000;120.83;67.5;18;30
64;3297830524456;canne iron t S 198 ML chooten 3.5/14gr;1.000;149.17;89.5;18;30
